Prénom,Nom,Nom,Divertissement,Manosphère,Extrême droite,Conspirationniste,Canadien,Turning point,Autres
Bryce,Hall,Bryce Hall,Divertissement,Manosphère,,,,Autres,1
Jake,Paul,Jake Paul,Divertissement,Manosphère,,,,Autres,1
Logan,Paul,Logan Paul,Divertissement,Manosphère,,,,Autres,1
Brandon,Tatum,Brandon Tatum,Divertissement,,,,,Turning Point,0
Charlie,Kirk,Charlie Kirk,,,,,,Turning Point,0
Theo,Von,Theo Von,Divertissement,,Extrême droite,,,Autres,1
Adin,Ross,Adin Ross,Divertissement,Manosphère,Extrême droite,,Canadien,Autres,1
Candace,Owens,Candace Owens,Divertissement,,Extrême droite,Conspirationniste,,Turning Point,0
Andrew,Schulz,Andrew Schulz,Divertissement,Manosphère,,,,Autres,1
Nelk,Boys,Nelk Boys,Divertissement,,,,Canadien,Autres,1
Corinna,Kopf,Corinna Kopf,Divertissement,,,,,Autres,1
Dave,Portnoy,Dave Portnoy,Divertissement,Manosphère,,,,Autres,1
Steven,Crowder,Steven Crowder,,,,,Canadien,Autres,1
John,McEntee,John McEntee,,,Extrême droite,Conspirationniste,,Autres,1
Dana,White,Dana White,Divertissement,Manosphère,,,,Autres,1
Tucker,Carlson,Tucker Carlson,,,Extrême droite,,,Autres,1
Ben,Shapiro,Ben Shapiro,,,,,,Autres,1
Jordan,B. Peterson,Jordan B. Peterson,,Manosphère,Extrême droite,,Canadien,Autres,1
Myron,Gaines,Myron Gaines,,Manosphère,Extrême droite,,,Autres,1
Riley,Gaines,Riley Gaines,Divertissement,,Extrême droite,,,Turning Point,0
Patrick,Bet-David,Patrick Bet-David,Divertissement,,Extrême droite,,,Autres,1
Savannah,Chrisley,Savannah Chrisley,Divertissement,,,,,Turning Point,0
Brett,Cooper,Brett Cooper,Divertissement,,,,,Autres,1
Matt,Walsh,Matt Walsh,,,Extrême droite,,,Autres,1
Ian,Carrol,Ian Carrol,,,Extrême droite,Conspirationniste,,Autres,1
Scott,Presler,Scott Presler,,,Extrême droite,Conspirationniste,,Autres,1
Lex ,Fridman,Lex  Fridman,,Manosphère,,,,Autres,1
Isabel ,Brown,Isabel  Brown,Divertissement,,,,,Turning Point,0
Xaviaer,DuRousseau,Xaviaer DuRousseau,Divertissement,,,,,Autres,1
Benny,Johnson,Benny Johnson,,Manosphère,,,,Turning Point,0
Darryl, Cooper,Darryl  Cooper,Divertissement,Manosphère,Extrême droite,,,Autres,1
Michael,Knowles,Michael Knowles,,,Extrême droite,Conspirationniste,,Autres,1
Emily ,Wilson,Emily  Wilson,,,Extrême droite,,,Turning Point,0
Graham ,Allen,Graham  Allen,,,,Conspirationniste,,Turning Point,0
CJ,Pearson,CJ Pearson,,,,Conspirationniste,,Autres,1
John,Doyle,John Doyle,,,Extrême droite,,,Turning Point,0
Dave,Rubin,Dave Rubin,,,,,Canadien,Autres,1
Tim,Dillon,Tim Dillon,Divertissement,,,,,Autres,1
Joe,Rogan,Joe Rogan,Divertissement,Manosphère,,,,Autres,1
Laura,Loomer,Laura Loomer,,,Extrême droite,Conspirationniste,,Autres,1
Jack,Posobiec,Jack Posobiec,,,Extrême droite,Conspirationniste,,Turning Point,0
Zach ,Hoyt,Zach  Hoyt,,,Extrême droite,,Canadien,Autres,1
Alex ,Clark,Alex  Clark,Divertissement,,,,,Autres,1
James ,O’Keefe,James  O’Keefe,,,Extrême droite,,,Autres,1
Tim,Pool,Tim Pool,,,Extrême droite,Conspirationniste,,Autres,1
Solomon,Brent,Solomon Brent,Divertissement,,,,,Turning Point,0
Breanna ,Morello,Breanna  Morello,,,Extrême droite,Conspirationniste,,Autres,1
Stefan,Molyneux,Stefan Molyneux,,,Extrême droite,Conspirationniste,Canadien,Autres,1
Hodge twins,,Hodge twins,Divertissement,,Extrême droite,,Canadien,Autres,1
Jessica ,Reed Kraus,Jessica Reed Kraus,Divertissement,,,Conspirationniste,,Autres,1
Sean Mike,Kelly,Sean Mike Kelly,,,,Conspirationniste,,Autres,1
Allie,Stuckey,Allie Stuckey,,,,,,Turning Point,0
Chaya,Raichik,Chaya Raichik,,,Extrême droite,,Canadien,Autres,1
Mike, Lindell,Mike  Lindell,,,,Conspirationniste,,Autres,1
Rob ,Smith,Rob Smith,,,,,,Turning Point,0
Steve,Bannon,Steve Bannon,,,Extrême droite,Conspirationniste,,Turning Point,0
Alex,Bruesewitz,AlexBruesewitz,,Manosphère,,,,Autres,1
Lauren,Chen,Lauren Chen,,,,,Canadien,Turning Point,0
Mike,Cernovitch,MikeCernovitch,,Manosphère,,Conspirationniste,,Autres,1
Elijah,Schaffer,Elijah Schaffer,,,Extrême droite,,,Autres,1
Andy,Ngo,Andy Ngo,,,,,Canadien,Autres,1
Andrew,Tate,Andrew Tate,,Manosphère,Extrême droite,,,Autres,1
Milo ,Yiannopoulos,Milo Yiannopoulos,,Manosphère,Extrême droite,,,Autres,1
Nicolas Kenn De Balinthazy ,(Sneako),Nicolas Kenn De Balinthazy (Sneako),,Manosphère,Extrême droite,,,Autres,1
Melissa Rein ,Lively,Melissa Rein Lively,Divertissement,,Extrême droite,Conspirationniste,,Autres,1
Katie ,Daviscourt,Katie Daviscourt,,,Extrême droite,,Canadien,Turning Point,0
Raquel,Debono,Raquel Debono,Divertissement,,,,,Autres,1
Liam,Donovan,Liam Donovan,,,,Conspirationniste,Canadien,Turning Point,0
,Harris,Daniel Harris,,Manosphère,,,,Autres,1
Christopher,Rufo,Christopher Rufo,,,Extrême droite,,,Autres,1
Michael ,Flynn,Michael Flynn,,,,Conspirationniste,,Autres,1
Nick,Fuentes,Nick Fuentes,,,Extrême droite,,,Autres,1
Mike,Davis,Mike Davis,,,Extrême droite,Conspirationniste,,Autres,1
Peter,Thiel,Peter Thiel,,Manosphère,Extrême droite,,,Autres,1
Tyler ,Bowyer,Tyler Tyler ,,,,,,Turning Point,0
Curtis ,Yarvin,Curtis Yarvin,,,Extrême droite,,,Autres,1
Christopher,Caldwell,Christopher Caldwell,,,Extrême droite,,,Autres,1
Nick,Sortor,Nick Sortor,,,,Conspirationniste,,Autres,1
Julio,Rosas,Julio Rosas,,,,,,Turning Point,0
Savanah,Hernandez,Savanah Hernandez,,,Extrême droite,Conspirationniste,,Turning Point,0
Cam,Higby,Cam Higby,,,,,,Turning Point,0
Nick,Shirley,Nick Shirley,Divertissement,,,,,Autres,1
Jonathan,Choe,Jonathan Choe,,,,,,Turning Point,0
James,Klug,James Klug,Divertissement,,,,,Turning Point,0
Vince ,Coglianese,Vince Coglianese,,,,,,Autres,1
Rogan ,O'Handley (Draino),Rogan O'Handley (Draino),Divertissement,,,,,Autres,1
Topher,Townsend,Topher Townsend,Divertissement,,,,,Turning Point,0
Joshua ,Haymes,Joshua Haymes,,,Extrême droite,,,Autres,1